Distance,Cars,Year
12.37,5411,2021
24.97,5129,2021
25.49,308,2009
34.05,2923,2021
35.25,5117,2021
36.1,2791,2021
45.69,171,2009
49.26,3906,2021
50.49,1143,2009
53.98,103,2009
57.33,36888,2021
67.19,134,2019
73.45,25038,2021
76.21,52929,2021
77.16,4927,2021
80.26,117,2008
82.81,7448,2021
85.62,85148,2021
86.66,4977,2019
90.76,7934,2021
92.24,12021,2021
93.76,7859,2009
94.62,15172,2019
98.26,13349,2021
99.71,53972,2021
100.53,10733,2008
105.56,5531,2021
110.28,3016,2019
114.88,73776,2021
115.39,8153,2021
116.62,1216,2009
119.33,916,2019
120.53,7175,2008
120.96,5780,2019
124.11,5612,2019
125.45,13619,2021
128.2,28112,2021
132.64,127729,2021
133.4,1866,2008
133.95,1669,2019
134.2,14774,2019
135.77,29746,2021
137.14,86,2019
140.04,27545,2021
142.44,918,2009
145.86,34010,2021
148.47,2300,2019
154.11,2921,2019
155.85,8348,2021
156.95,120004,2021
159.74,12713,2021
161.42,44309,2021
162.09,2831,2019
163.2,10301,2021
164.31,12431,2021
165.37,2554,2008
166.27,1889,2009
168.91,11252,2021
169.06,196,2019
169.51,11252,2021
169.9,572,2021
175.37,8269,2009
178.21,18990,2021
181.16,5531,2009
182.22,598,2019
186.07,17694,2021
186.83,35463,2021
187.97,18454,2021
188.19,367,2019
188.41,3481,2019
191.74,68055,2021
203.8,1334,2019
